Country Name,Series Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,64.77,63.34,61.91,60.47517143,59.04386299,57.61255456,56.18124613,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.76,..
Albania,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,7.16,7.11,7.06,7.013942308,6.964543269,7.780528846,8.596514423,9.4125,10.22848558,11.04447115,10.51959135,9.994711539,9.469831731,8.944951923,8.420072115,7.646754808,7.4984375,7.350120192,7.201802885,7.053485577,6.905168269,6.756850962,6.608533654,6.460216346,5.528846154,6.5625,6.556490385,5.757211539,6.796875,4.723557692,4.78,..
Algeria,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,64.1,65.79,67.47,69.15486652,70.8392494,72.52363227,74.20801515,75.89239802,77.57678089,79.26116377,81.71052014,85.03737246,87.52280082,90.00822919,92.49365755,94.97908592,97.46451429,99.94994265,102.435371,104.9207994,107.4062277,109.7509498,115.1634539,120.575958,125.9884621,129.8719572,137.9203602,137.9203602,137.9203602,137.9203602,137.92,..
Andorra,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,1.4,1.44,1.47,1.502305652,1.535033667,1.567761681,1.600489696,1.633217711,1.665945725,1.69867374,1.73331565,1.76795756,1.80259947,1.837241379,1.871883289,1.871883289,1.871883289,1.871883289,1.871883289,1.871883289,1.871883289,1.871883289,1.871883289,1.871883289,1.871883289,1.871883289,1.871883289,1.871883289,1.871883289,1.871883289,1.87,..
Antigua and Barbuda,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,3.71,4.14,4.58,5.012820513,5.448717949,5.884615385,6.320512821,6.756410256,7.192307692,7.628205128,8.064102564,8.5,8.935897436,9.371794872,9.807692308,9.615384615,9.423076923,9.230769231,9.038461539,8.846153846,8.653846154,8.461538462,8.461538462,8.461538462,8.461538462,8.461538462,8.461538462,8.461538462,8.461538462,8.461538462,8.46,..
Argentina,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,7.87,7.89,7.9,7.914703666,7.92900344,8.028183609,8.127363778,8.226543946,8.325724115,8.424904284,8.609566843,8.794229401,8.97889196,9.163554519,9.348217078,9.532879637,9.717542196,9.902204755,10.08686731,10.27152987,10.45666408,10.45666408,10.45666408,10.45666408,10.45666408,10.45666408,10.45666408,10.45666408,10.45666408,10.45666408,10.46,..
Armenia,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,..,..,64.51,60.17752673,51.05910833,45.93504136,37.32096026,40.22594311,39.66108533,37.74460359,34.81944725,34.9404882,39.86282025,50.49425055,55.90074642,57.03046197,60.762558,57.95844261,49.70748437,42.88884406,49.18297357,59.33024006,59.61266895,57.69618721,66.00766593,64.19205164,57.79705467,54.75085737,57.79705467,57.09098245,59.85,..
Australia,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,..,..,7.46,8.488218737,7.981584238,8.910414154,8.817129071,8.774507439,8.731885806,8.70898271,8.658624849,8.37708082,8.095536791,7.813992762,7.532448733,7.059368717,6.586288701,6.113208685,5.640128669,5.297547246,5.313630881,6.380377965,7.699236027,7.42380378,3.707277845,4.271411339,4.84866963,4.957780458,4.246079614,3.486127865,4.6,..
Austria,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,10.32,10.12,9.92,9.722575297,9.524730589,9.794142028,10.06355347,10.0967118,10.12987013,10.0469743,9.966841669,9.883945841,9.853896104,9.823846366,9.793796629,9.763746891,9.733697154,9.703647416,9.673597679,9.643547941,9.536090387,9.428632833,9.321175279,9.213717724,9.10626017,8.998802616,8.891345062,8.783887507,8.676429953,8.676429953,8.68,..
Azerbaijan,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,..,71.55,72.15,64.61912122,61.69132259,59.42592184,55.27931111,45.19761537,52.85051888,48.5316847,43.81982778,43.80216383,46.44733937,49.34864208,52.10863325,53.62773239,53.36718923,50.91631707,49.19408258,48.44336498,49.88297637,52.88143078,52.96533451,51.19010819,51.61845882,52.45308015,53.52174873,53.72930007,55.59726209,53.88862884,57.27,..
"Bahamas, The",Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,170.92,179.11,187.83,196.5600133,205.2851459,214.0102785,222.7354111,231.4605438,240.1856764,248.910809,234.7623784,220.6139478,205.7758621,201.1050157,196.4341693,191.7633229,187.0924765,182.4216301,177.7507837,173.0799373,168.4090909,163.7382445,159.0673981,154.3965517,137.1551724,133.7068966,133.7068966,133.7068966,133.7068966,133.7068966,133.71,..
Bangladesh,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.723339482,5.723339482,5.723339482,5.723339482,5.723339482,5.723339482,5.723339482,5.723339482,5.723339482,5.723339482,5.723339482,5.723339482,5.723339482,5.72,..
Barbados,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,91.88,93.75,95.63,97.5,99.375,101.25,101.25,101.25,101.25,101.25,101.25,101.25,101.25,101.25,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,..
Belarus,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,..,..,..,..,6.526038233,6.431773237,6.33750824,6.243243243,6.148978247,6.05471325,5.968358603,5.882003955,5.795649308,5.709294661,5.622940013,5.51878708,5.414634146,5.310481213,5.20632828,5.102175346,5.064820919,5.027466491,4.990112063,5.177982861,4.772577456,4.785761371,4.604482531,4.581410679,4.475939354,4.377059987,4.7,..
Belgium,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,103.92,103.28,102.64,102.0031941,101.3648649,97.91830467,94.47174447,93.83947584,93.20720721,92.54422604,87.64619165,82.74815725,81.31654382,79.88493038,78.45331695,77.39619165,76.33906634,75.29484029,73.73464373,73.13267813,62.43243243,65.11056511,59.32432432,55.97051597,49.06633907,51.5115519,53.95676474,51.28992629,51.58476658,51.87960688,51.88,..
Belize,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,0.4,0.44,0.48,0.601505744,0.722170268,0.829795111,0.937419955,1.045044798,1.152669641,1.260294485,1.260294485,1.260294485,1.260294485,1.260294485,1.260294485,1.260294485,1.260294485,1.260294485,1.260294485,1.260294485,1.260294485,1.260294485,1.260294485,1.260294485,1.260294485,1.260294485,1.260294485,1.260294485,1.260294485,1.260294485,1.26,..
